Name,Length,Glyco(Nx[ST]),NP[ST],NN[ST][ST],Charge
01_AE.CH.2008.S32615_178WK_C33.PQ282675,40,0,0,0,1
01_AE.CH.x.ZENV32_0111_5.KU600816,42,0,0,0,3
01_AE.CH.x.ZENV92_1008_8.KU600817,41,0,0,0,2
01_AE.CN.1999.AE01.EU363849,40,0,0,0,4
01_AE.CN.2005.AE03.EU363851,42,0,0,0,2
01_AE.CN.2005.CNE62.HM215424,41,0,0,0,3
01_AE.CN.2006.AE02.EU363850,44,1,0,0,4
01_AE.CN.2006.CNE3.HM215410,46,0,0,0,2
01_AE.CN.2006.CNE5.HM215415,44,0,0,0,4
01_AE.CN.2006.CNE59.HM215422,44,0,0,0,-1
01_AE.CN.2006.CNE59_N651K.,44,0,0,0,-1
01_AE.CN.2006.CNE8.HM215427,40,0,0,0,1
01_AE.CN.2006.YN192_31.GU475046,42,0,0,0,1
01_AE.CN.2006.HUB199_1.GU475025,41,0,0,0,3
01_AE.CN.2007.BJOX005000_09_2.HM215367,39,0,0,0,1
01_AE.CN.2007.BJOX008000_04_3.HM215371,43,0,0,0,3
01_AE.CN.2007.BJOX009000_02_4.HM215372,41,0,0,0,3
01_AE.CN.2007.BJOX010000_06_2.HM215373,41,0,0,0,2
01_AE.CN.2007.BJOX015000_11_5.HM215377,41,0,0,0,2
01_AE.CN.2007.BJOX017000_07_1.HM215378,44,1,0,0,3
01_AE.CN.2007.BJOX018000_02_3.HM215379,41,0,0,0,1
01_AE.CN.2007.BJOX021000_03_3.HM215383,43,1,0,0,2
01_AE.CN.2007.BJOX023000_05_4.HM215385,42,1,0,0,0
01_AE.CN.2007.BJOX025000_01_1.HM215386,47,0,0,0,3
01_AE.CN.2007.BJOX025000_05_5.HM215387,47,0,0,0,3
01_AE.CN.2007.BJOX028000_10_3.HM215389,39,0,0,0,3
01_AE.CN.2007.BJOX028000_34_2.HM215390,39,0,0,0,3
01_AE.CN.2007.BJOX028000_43_5.HM215391,39,0,0,0,3
01_AE.CN.2007.BJOX030000_02_5.HM215393,39,1,0,0,1
01_AE.CN.2007.CNE107.HQ699986,43,0,0,0,-1
01_AE.CN.2007.CNE26.HQ699955,44,1,0,0,1
01_AE.CN.2007.CNE28.HM215409,44,1,0,0,1
01_AE.CN.2007.CNE55.HM215418,43,0,0,0,1
01_AE.CN.2007.CNE56.HM215419,43,0,0,0,-1
01_AE.CN.2007.GX142_2.GU475031,45,1,0,0,4
01_AE.CN.2007.GX24_8.GU475015,44,0,0,0,2
01_AE.CN.2007.GX25_29.GU475030,43,0,0,0,2
01_AE.CN.2007.GZ187_10.GU475036,44,1,0,0,0
