Name,Length,Glyco(Nx[ST]),NP[ST],NN[ST][ST],Charge
01_AE.CH.2008.S32615_178WK_C33.PQ282675,70,1,0,0,-1
01_AE.CH.x.ZENV32_0111_5.KU600816,64,0,0,0,0
01_AE.CH.x.ZENV92_1008_8.KU600817,73,0,0,0,1
01_AE.CN.1999.AE01.EU363849,71,1,0,0,3
01_AE.CN.2005.AE03.EU363851,71,0,0,0,1
01_AE.CN.2005.CNE62.HM215424,65,0,0,0,2
01_AE.CN.2006.AE02.EU363850,75,1,0,0,2
01_AE.CN.2006.CNE3.HM215410,83,0,0,0,3
01_AE.CN.2006.CNE5.HM215415,74,0,0,0,5
01_AE.CN.2006.CNE59.HM215422,71,0,0,0,0
01_AE.CN.2006.CNE59_N651K.,71,0,0,0,0
01_AE.CN.2006.CNE8.HM215427,66,0,0,0,0
01_AE.CN.2006.YN192_31.GU475046,72,0,0,0,2
01_AE.CN.2006.HUB199_1.GU475025,71,0,1,0,1
01_AE.CN.2007.BJOX005000_09_2.HM215367,71,0,0,0,-2
01_AE.CN.2007.BJOX008000_04_3.HM215371,71,0,0,0,2
01_AE.CN.2007.BJOX009000_02_4.HM215372,68,1,0,0,3
01_AE.CN.2007.BJOX010000_06_2.HM215373,75,0,0,0,2
01_AE.CN.2007.BJOX015000_11_5.HM215377,72,0,0,0,3
01_AE.CN.2007.BJOX017000_07_1.HM215378,74,1,0,0,3
01_AE.CN.2007.BJOX018000_02_3.HM215379,77,0,0,0,1
01_AE.CN.2007.BJOX021000_03_3.HM215383,71,1,0,0,0
01_AE.CN.2007.BJOX023000_05_4.HM215385,76,1,0,0,0
01_AE.CN.2007.BJOX025000_01_1.HM215386,75,0,0,0,2
01_AE.CN.2007.BJOX025000_05_5.HM215387,75,0,0,0,2
01_AE.CN.2007.BJOX028000_10_3.HM215389,70,0,0,0,3
01_AE.CN.2007.BJOX028000_34_2.HM215390,70,0,0,0,3
01_AE.CN.2007.BJOX028000_43_5.HM215391,70,0,0,0,3
01_AE.CN.2007.BJOX030000_02_5.HM215393,66,1,0,0,2
01_AE.CN.2007.CNE107.HQ699986,70,0,0,0,-1
01_AE.CN.2007.CNE26.HQ699955,73,1,0,0,0
01_AE.CN.2007.CNE28.HM215409,73,1,0,0,0
01_AE.CN.2007.CNE55.HM215418,68,1,0,0,-1
01_AE.CN.2007.CNE56.HM215419,70,0,0,0,-1
01_AE.CN.2007.GX142_2.GU475031,75,1,0,0,4
01_AE.CN.2007.GX24_8.GU475015,74,0,1,0,1
01_AE.CN.2007.GX25_29.GU475030,78,0,0,0,0
01_AE.CN.2007.GZ187_10.GU475036,75,1,0,0,-1
01_AE.CN.2007.GX155_55.GU475043,73,0,0,0,-1
01_AE.CN.2007.GX28_31.GU475017,74,0,0,0,-1
01_AE.CN.2007.GX54_6.GU475045,82,1,0,0,3
01_AE.CN.2007.BJ17A_6.GU475028,72,1,0,0,-1
01_AE.CN.2007.BJX4_6.GU475020,69,0,0,0,2
01_AE.CN.2007.GX11_13.GU475042,74,0,0,0,1
01_AE.CN.2007.GX13_7.GU475037,65,1,0,0,4
01_AE.CN.2007.BJ3_4.GU475040,70,0,0,0,1
01_AE.CN.2007.BJ5_11.GU475024,68,0,0,0,1
01_AE.CN.2007.GX34_21.GU475022,66,0,0,0,3
01_AE.CN.2007.GX2010_36.GU475026,67,0,0,0,1
01_AE.CN.2008.BJOX031000_02_2.HM215394,68,0,0,0,0
01_AE.CN.2008.GX35_33.GU475023,71,0,0,0,3
01_AE.CN.2008.SH6_81.GU475032,72,0,0,0,1
01_AE.CN.2008.SHX335_24.GU475033,81,1,0,0,1
01_AE.CN.2008.SHX346_60.GU475034,72,0,0,0,3
01_AE.CN.2008.BJ6_17.GU475029,71,0,0,0,2
01_AE.CN.2008.GX68_5.GU475044,74,0,0,0,5
01_AE.CN.2008.GX71_18.GU475016,68,0,0,0,1
01_AE.CN.2008.GX72_27.GU475035,78,1,0,0,-1
01_AE.CN.2008.GX73_29.GU475038,67,0,0,0,-1
01_AE.CN.2008.GX74_20.GU475021,80,1,0,0,3
01_AE.CN.2008.GX81_43.GU475014,64,0,1,0,1
01_AE.CN.2008.GX83_47.GU475027,73,0,0,0,-1
01_AE.CN.2008.GX88_47.GU475018,65,0,0,0,0
01_AE.CN.2008.GX8C_31.GU475039,69,0,0,0,1
01_AE.CN.2008.GX90_1.GU475019,87,2,0,0,2
01_AE.CN.2008.GX91_2.GU475013,75,0,0,0,1
01_AE.CN.2009.09GX268_E332N_N334S.,76,0,0,0,3
01_AE.CN.2009.09GX285_E332N_N334S.,69,0,1,0,0
01_AE.CN.2009.09GX319_E332N_N334S.,74,0,0,0,0
01_AE.CN.2009.09GX319_F330H_E332N_N334S.,74,0,0,0,0
01_AE.CN.2009.09GX332_E332N_N334S.,66,0,0,0,3
01_AE.CN.2009.09GX268.MG655196,76,0,0,0,3
01_AE.CN.2009.09GX285.MG655197,69,0,1,0,0
